symbol,asset_id,event_time,price_usd,open_price_usd,min_price_usd_24h,max_price_usd_24h,volume_24h,market_cap_usd,change_pct_24h
LTC,litecoin,2024-01-06T04:28:00Z,64455.385766,65435.113747,61548.21299,66637.63881,1199388640.037,1012167764372.952,22.1827
SOL,solana,2024-01-05T20:52:00Z,77774.777277,79314.304609,73969.823056,82417.967403,2903719167.551,1624262003117.011,-22.9461
DOGE,dogecoin,2024-01-03T02:02:00Z,13362.199954,12554.124789,12274.405855,13775.010263,1895461690.825,467657635913.476,8.503
ADA,cardano,2024-01-04T17:09:00Z,209.648648,207.353124,198.610869,218.692403,2183300068.903,1505998628851.28,-7.0194
LTC,litecoin,2024-01-02T00:57:00Z,19509.013151,19898.305789,19157.498517,22046.183823,2689826478.267,1508767426047.716,17.9681
XRP,ripple,2024-01-06T03:14:00Z,53925.547627,56064.503371,52456.405633,59468.534671,1753978366.002,1525414786966.513,-3.0604
LINK,chainlink,2024-01-06T04:08:00Z,32752.776785,32712.212705,32566.316601,34775.924279,890999773.815,1954109587551.53,-24.5556
DOT,polkadot,2024-01-02T22:24:00Z,25198.482638,26126.862399,24212.48632,27387.530371,3926609610.632,1682315205282.945,-12.5173
ADA,cardano,2024-01-02T15:08:00Z,80402.895261,82543.079165,78702.696884,81289.511111,2944148380.074,1516952706401.403,-13.9552
DOGE,dogecoin,2024-01-05T23:49:00Z,54270.799315,53446.745092,47903.863561,55502.890846,3546535114.867,1958062866469.453,0.6585
LINK,chainlink,2024-01-02T14:52:00Z,72037.036331,75714.007192,70810.000968,77954.66109,2218422435.02,1141165904938.061,17.2654
LINK,chainlink,2024-01-07T02:55:00Z,25991.064868,27507.290686,25159.054948,27676.997237,4589974761.878,1462395810352.172,12.9336
LINK,chainlink,2024-01-05T04:44:00Z,38568.078398,39623.84232,37177.678689,41030.239804,1428916718.56,458914870275.591,-4.2925
LTC,litecoin,2024-01-04T02:30:00Z,25651.686609,24519.19647,24796.924091,26261.788684,1087483011.674,719997256423.73,-16.1307
XRP,ripple,2024-01-03T19:55:00Z,39836.896773,42052.86979,38442.994986,42334.911564,3307706208.362,1217665359727.566,-23.0947
BTC,bitcoin,bad-date,77455.733864,75847.212034,72650.60309,77541.084262,132209270.014,1176182688801.422,-14.8508
BTC,bitcoin,2024-01-05T17:45:00Z,71089.350363,71605.26798,66313.68083,71984.201742,2224173668.719,251755756553.153,-23.8896
LINK,chainlink,2024-01-07T06:59:00Z,47102.739455,48032.786286,45981.274233,50657.230379,2059030013.895,718842641921.407,-10.2119
XRP,ripple,2024-01-04T05:55:00Z,82284.292301,76663.543818,73135.009739,84337.618873,3925405669.867,1892422218133.317,-0.058
AAVE,aave,2024-01-04T20:44:00Z,41658.224662,42835.208682,40924.167682,44300.988492,4463547998.262,1912008661422.295,16.9531
XRP,ripple,2024-01-01T15:21:00Z,3157.528197,3213.735999,2860.078938,3159.173429,1447830939.86,1980857569958.398,-6.1465
LINK,chainlink,2024-01-03T05:26:00Z,29426.711071,29542.055785,27046.193138,30952.56341,446439826.114,724548724462.01,10.9612
XRP,ripple,2024-01-03T01:56:00Z,75710.370477,71987.610457,69779.528988,77534.482382,1615982559.489,1183000802088.167,-24.9036
ADA,cardano,2024-01-01T17:45:00Z,34020.536998,34821.305118,32195.467448,35723.453896,-25457.405245840786,399348643006.138,-9.12
LINK,chainlink,2024-01-07T05:55:00Z,9040.925516,9109.885812,8874.018255,9310.208366,308646316.964,238598622228.699,-5.7883
DOT,polkadot,2024-01-03T05:36:00Z,40568.596833,39622.235196,38537.425449,41195.059123,2153207220.296,1834673727500.707,24.5172
AAVE,aave,2024-01-04T23:23:00Z,64509.981621,63186.823925,58504.130469,65514.161619,3319528702.933,788526871864.105,-3.6703
ADA,cardano,2024-01-01T20:07:00Z,9946.483625,9764.937941,9295.064977,10084.620365,748178240.778,-997569.9806220845,13.7519
ETH,ethereum,2024-01-06T20:40:00Z,40826.742561,40882.144097,39185.407338,42553.805965,1407672768.011,135888485969.721,-12.0213
BTC,bitcoin,2024-01-02T15:47:00Z,18070.862832,16933.168101,17115.476498,18168.655741,3785926311.63,310663015186.668,3.1368
ADA,cardano,2024-01-05T08:48:00Z,39575.154131,40978.406909,37958.50613,41817.411721,1081651859.255,719761814268.553,3.4445
ETH,ethereum,2024-01-02T03:56:00Z,87825.015885,88767.650888,81176.82371,90152.903506,2807995232.593,187773423752.596,22.2348
SOL,solana,2024-01-05T23:06:00Z,8304.536737,7915.092077,8124.948109,8634.590209,1847775336.546,1738695463468.498,-12.6662
DOGE,dogecoin,2024-01-07T09:32:00Z,71426.622873,69906.876974,67772.830512,74830.23581,3041246926.631,1797383482683.563,14.8904
LINK,chainlink,2024-01-04T17:35:00Z,6456.717648,6761.939524,6341.360456,7211.690733,4690136964.611,1083016600783.296,21.303
DOT,polkadot,2024-01-04T03:05:00Z,66844.169517,63844.902327,64087.507597,70353.025024,4194302548.589,1447044021672.734,-15.6454
XRP,ripple,2024-01-01T15:50:00Z,80584.468892,78057.593179,74282.317382,81038.055397,2247092888.166,1012187282146.284,-21.4606
SOL,solana,2024-01-01T22:27:00Z,11713.558649,13061.764766,11561.474919,13400.083541,2476948666.782,955430094227.469,6.5485
DOGE,dogecoin,2024-01-04T12:49:00Z,10224.671399,10807.537704,9804.077867,10678.177266,811540930.641,1072993298829.716,-8.1302
ETH,ethereum,2024-01-06T05:16:00Z,53207.566826,51181.69503,50520.826207,53237.085159,3174619976.936,681820132883.875,-14.9299
SOL,solana,2024-01-05T22:36:00Z,42944.164078,42352.078669,41573.192732,45139.658513,2513770011.987,1135924495199.119,-16.2289
DOT,polkadot,2024-01-07T03:39:00Z,54940.577953,50733.636833,49628.358776,55055.846897,4748334786.783,1840600047676.205,-16.6308
AAVE,aave,2024-01-03T09:42:00Z,91630.264458,95172.654626,84591.650175,93420.761862,2685690689.367,599719770847.689,-7.7161
ETH,ethereum,2024-01-02T09:24:00Z,74038.852281,72000.290485,71111.869921,75905.593561,1537972626.774,1390476561898.292,-23.6035
SOL,solana,2024-01-06T08:29:00Z,69634.876235,65893.594746,64476.266854,72691.203148,3926567412.843,240104255351.638,4.0083
ETH,ethereum,2024-01-05T20:04:00Z,24457.61108,26244.285751,23620.804688,26159.480499,31471645.854,112182244913.181,-19.5901
DOT,polkadot,2024-01-05T07:41:00Z,6801.685156,6918.693758,6385.40221,7031.886302,3155049308.861,217992339164.391,1.4728
BTC,bitcoin,2024-01-07T08:00:00Z,46048.757466,46612.953691,43776.731695,46559.173654,3916096725.493,1622735819383.668,-19.8118
LTC,litecoin,2024-01-03T17:21:00Z,88244.79117,86095.393259,87991.718047,90021.906803,948832420.698,575947711035.304,16.24
BTC,bitcoin,2024-01-02T13:18:00Z,68459.810794,66195.946011,66512.663786,71381.981904,4689911928.044,1773099535989.67,-24.8305
LTC,litecoin,2024-01-04T03:42:00Z,77649.777187,78357.850357,71413.483014,81281.512165,4583394942.592,1860759327897.367,5.8979
DOGE,dogecoin,2024-01-03T04:51:00Z,3567.116854,3752.935901,3564.758128,3801.29084,1673347284.457,996556342698.456,12.9311
ADA,cardano,2024-01-01T11:34:00Z,49772.138706,47784.390856,47536.227042,50578.625724,4587011997.881,1037098563699.105,1.1297
DOGE,dogecoin,2024-01-06T05:00:00Z,2294.247562,2421.150196,2284.036225,2338.181429,318785228.225,1948317466213.686,-19.982
SOL,solana,2024-01-05T23:59:00Z,4525.389172,4472.579461,4056.25989,4685.226314,36158595.313,496067107267.996,3.09
SOL,solana,2024-01-05T23:25:00Z,28076.787654,27755.045594,26698.024181,28208.384754,4510081089.367,993145616691.956,-22.0326
SOL,solana,2024-01-02T15:24:00Z,73441.883206,72199.487736,71652.930442,75913.44807,3282117810.729,756730029592.244,20.1158
ETH,ethereum,2024-01-04T18:10:00Z,26162.596964,27214.630124,25117.419005,28195.231696,2807881592.238,203807528302.076,13.079
DOGE,dogecoin,2024-01-05T06:49:00Z,50775.918274,49443.251129,48165.799453,54465.279118,1054383521.781,1767279268415.24,-18.2056
XRP,ripple,2024-01-04T12:06:00Z,66780.499386,68319.706662,63017.240353,70959.664004,4971065624.779,604910611917.118,23.0122
LTC,litecoin,2024-01-06T10:21:00Z,97048.079458,95154.009273,88339.529995,101298.427158,1860258624.523,1941392946040.398,15.8316
AAVE,aave,2024-01-03T15:18:00Z,1518.950919,1459.429181,1455.890098,1549.79428,2695905037.423,1835914947788.651,11.3176
ADA,cardano,2024-01-03T03:17:00Z,24860.793079,25139.000751,24357.435965,26519.281484,4664417713.08,1443285837334.606,-17.0318
DOT,polkadot,2024-01-07T07:10:00Z,355.217201,355.015806,355.105923,373.24294,2784967973.756,1916842850448.333,6.1689
DOT,polkadot,2024-01-04T02:46:00Z,60879.505357,60774.397485,59206.940576,67338.893881,3837321833.583,1604748526935.848,-17.4571
LTC,litecoin,2024-99-99T00:00:00Z,75338.174215,74458.476974,71848.596545,79406.632216,1190046306.292,483312123098.831,-22.0871
LINK,chainlink,2024-01-07T00:43:00Z,8051.058256,8773.971873,7848.730735,8599.039885,1679666527.607,1981812417409.999,17.4335
DOT,polkadot,2024-01-04T12:41:00Z,5190.508575,5555.059429,5007.693555,5531.71743,1279308746.171,893051052521.295,-13.7525
ETH,ethereum,2024-01-03T13:29:00Z,67184.956501,67402.772704,65797.348065,74186.390335,3936829417.353,446730926138.694,8.5438
ETH,ethereum,2024-01-04T02:10:00Z,34949.547311,35270.879944,33125.62691,37493.303542,2615998540.911,1110185303941.354,20.0698
LINK,chainlink,2024-01-04T06:59:00Z,36092.772962,35794.693869,32218.034405,37196.717384,3856803724.704,1945550488396.024,6.0398
DOGE,dogecoin,2024-01-04T23:21:00Z,66904.731276,65740.6126,62220.857955,67095.505024,893001427.742,1704189218933.925,-2.7484
DOGE,dogecoin,2024-01-01T04:48:00Z,"12,34",49798.96045,48012.402876,52743.022188,2182335662.767,205089545935.476,21.7423
DOGE,dogecoin,2024-01-02T06:39:00Z,69998.266856,64926.955932,64645.119037,70247.515234,1831617822.894,1106882501616.888,-13.7717
LTC,litecoin,2024-01-06T08:19:00Z,43234.323345,42557.85887,40215.564068,43893.268952,3579870421.919,1629901004351.022,-13.7636
DOT,polkadot,2024-01-03T17:16:00Z,67464.169896,65916.001719,65402.412724,71744.231491,1251898852.597,1961200641092.716,-17.3627
LINK,chainlink,2024-01-03T19:58:00Z,58530.979954,61623.917072,57081.296899,64765.034989,887868023.533,1831859224093.664,-4.5717
ADA,cardano,2024-01-06T10:35:00Z,7968.121598,7439.529053,7314.415046,7980.954589,2229010902.237,456352188718.81,-19.8563
ADA,cardano,2024-01-02T14:21:00Z,31628.111184,31120.478725,31007.674608,31981.251413,2517377860.937,8215087003.579,-0.8144
ADA,cardano,2024-01-01T06:08:00Z,"12,34",25534.205163,23786.832726,26712.433608,2691840394.379,1007950514728.856,24.4647
LTC,litecoin,2024-01-02T02:50:00Z,73186.335579,70235.676562,67987.981998,76774.948844,98325929.32,946788839855.658,-6.8118
LINK,chainlink,2024-01-03T05:44:00Z,21538.914945,20995.431174,21437.167101,21930.974914,35403026.13,1464238567725.339,22.5534
DOT,polkadot,2024-01-05T20:12:00Z,19638.876587,20137.305987,19209.601867,20707.41166,4996575072.636,429402773049.474,-22.0542
BTC,bitcoin,2024-01-03T06:27:00Z,91762.637818,98637.902237,88499.132101,99825.710974,1569194556.386,153907939512.573,-18.622
XRP,ripple,2024-01-03T07:35:00Z,60216.507591,62851.834595,57075.878818,63151.994621,863779061.211,1043548285007.313,-21.5316
XRP,ripple,2024-01-06T17:06:00Z,79108.529508,79546.021578,74030.884304,82639.300398,212206203.54,1730755251402.713,-0.2415
ETH,ethereum,2024-01-06T06:17:00Z,50344.900982,47543.478793,46519.780183,52660.757827,4467141137.626,909099079332.661,18.1001
LINK,chainlink,2024-01-03T08:49:00Z,12974.705673,12638.553597,12491.66447,13727.545779,2531318406.139,544158639625.4,-18.1918
AAVE,aave,2024-01-07T13:27:00Z,64927.734632,63412.538286,62234.507351,66945.562993,1395681610.996,1847337159857.513,-21.9148
AAVE,aave,2024-01-05T19:55:00Z,23128.721806,21957.133122,20921.748121,23635.749321,1874734287.904,518872815160.219,-21.7844
DOT,polkadot,2024-01-03T18:07:00Z,82835.390483,82648.239277,79413.328512,87144.701027,3493672429.203,1826591319580.453,3.2679
SOL,solana,2024-01-02T02:57:00Z,16082.82257,16407.582915,16054.267373,17627.635481,4603021323.711,703999400582.911,-14.7923
,bitcoin,2024-01-01T01:27:00Z,69524.779509,63978.730861,62101.717164,69804.025778,1423596363.27,1997541096846.833,20.5163
AAVE,aave,2024-01-01T04:20:00Z,"12,34",40576.453532,40182.777772,43667.082449,32586769.858,1621671731627.453,-5.1534
XRP,ripple,2024-01-04T00:01:00Z,59580.645345,59676.21543,59500.685194,60960.191037,2551055433.083,320444897679.333,8.7002
SOL,solana,2024-01-07T05:04:00Z,28462.341958,30069.603786,28193.334345,29641.083445,3453509323.061,1499204323845.884,18.8894
AAVE,aave,2024-01-01T23:44:00Z,5731.9072785,3805.740356,3437.618813,3821.271519,1542365606.483,1765797623255.569,-15.394
ETH,ethereum,2024-01-03T22:48:00Z,82974.934292,76809.441612,76112.938706,84857.176707,3517059094.86,1953521016716.764,-19.1465
AAVE,aave,2024-01-06T22:17:00Z,29751.606839,31675.435811,29434.713015,32868.56858,419286316.033,689925921879.153,-10.8899
LTC,litecoin,2024-01-01T05:19:00Z,"12,34",21547.290074,21018.41666,23769.440696,588293652.529,1187982919434.14,-23.928
AAVE,aave,2024-01-01T16:32:00Z,72292.772286,71778.947642,67974.084719,75413.814288,-51539.1589175111,956325450527.589,-15.4256
SOL,solana,2024-01-01T06:58:00Z,bad-price,55527.290695,54581.125651,59504.111479,1895227254.163,1850118924147.632,-7.2737
ETH,ethereum,2024-01-05T14:10:00Z,67421.830618,69922.816534,66990.777992,71586.988819,3815957427.114,447738042775.284,24.5645
XRP,ripple,2024-01-05T12:34:00Z,34599.874089,35191.522166,33941.088978,35024.024874,4765866431.85,1827958457660.741,-1.2173
LTC,litecoin,2024-01-07T11:30:00Z,50246.239707,52159.860762,46231.663242,50801.886647,3135102918.753,534080761499.507,-1.6809
AAVE,aave,2024-01-01T15:51:00Z,75151.998197,75455.764707,74321.161114,79393.403103,1055035757.69,1464324896565.818,7.2374
DOGE,dogecoin,2024-01-07T13:13:00Z,8396.757881,8557.566469,8203.026959,8726.176229,1088040209.128,1692739028631.445,-22.7866
SOL,solana,2024-01-07T01:08:00Z,12243.577468,11552.24445,11327.901174,12255.355115,2243093666.835,138110428944.196,-24.9397
AAVE,aave,2024-01-06T17:40:00Z,54521.608429,56528.681869,54192.383484,58076.595864,578660941.142,1349073235735.822,-7.5676
LTC,litecoin,2024-01-05T10:00:00Z,77907.974492,73110.93136,73299.814315,80590.906507,3155503533.469,1849584926129.047,19.2681
LTC,litecoin,2024-01-07T09:40:00Z,45002.176093,44460.450469,41239.501859,46240.909547,1072249534.249,468958455770.104,14.2756
ETH,ethereum,2024-01-02T06:03:00Z,24720.784654,24648.515703,22825.607876,25358.225341,540626080.82,192664105045.267,11.7584
BTC,bitcoin,2024-01-07T20:12:00Z,164.161573,150.072669,149.534818,167.725457,756494462.71,1609881319927.068,-11.6056
AAVE,aave,2024-01-02T09:38:00Z,3211.611511,3507.786395,3136.472009,3546.002703,939619113.107,1510113338679.558,10.6744
SOL,solana,2024-01-05T19:47:00Z,11627.344913,11308.640891,11140.49176,11935.269665,1643656998.274,159254659565.129,-11.6068
XRP,ripple,2024-01-03T14:52:00Z,47328.578776,45404.59851,43510.937172,50163.926239,3541345131.633,1624064377723.251,-24.4857
BTC,bitcoin,2024-01-06T19:14:00Z,34621.290154,34638.860631,33793.754673,35987.691318,559998685.388,1599818412514.917,-16.8919
ADA,cardano,2024-01-02T23:55:00Z,6666.32907,6743.763275,6621.171766,6984.066987,1023640408.004,1732870532572.512,10.2525
SOL,solana,2024-01-06T11:02:00Z,60297.093494,63048.522752,59324.964994,65234.638731,3768456712.858,1655354048908.078,-15.7727
BTC,bitcoin,2024-01-04T21:06:00Z,33168.202279,33206.956817,32008.795807,34498.072972,4632609658.405,1385710187806.025,14.4413
AAVE,aave,2024-01-03T06:10:00Z,6010.260993,5972.325859,5933.973151,6335.588746,1782464466.937,579338955910.335,-20.5181
ADA,cardano,2024-01-06T20:43:00Z,87209.686788,86496.657783,86735.202863,93002.188169,1307440769.296,1763613850602.683,-14.1264
DOGE,dogecoin,2024-01-03T22:40:00Z,32755.454291,33403.253895,32441.180539,33369.775092,4814460524.973,643645614247.542,-13.4575
DOT,polkadot,2024-01-02T11:53:00Z,47421.611669,45653.439737,45867.625219,47608.122863,140932815.543,466153584246.747,12.0977
LTC,litecoin,2024-01-02T03:10:00Z,82983.1061,84419.855014,81553.644257,83944.413207,1932660715.914,800839512327.879,-23.0001
,cardano,2024-01-01T02:18:00Z,61849.711976,63469.193049,60292.435637,63307.363831,999641160.655,34217617061.105,1.5592
DOT,polkadot,2024-01-05T10:28:00Z,19752.087493,19979.05784,18413.226667,20356.655626,2167510177.388,1557465824057.04,11.1459
LINK,chainlink,2024-01-04T16:09:00Z,22248.354451,22421.542555,22173.950874,23435.872682,2337764604.243,1988794886525.622,0.6231
LTC,litecoin,2024-01-01T23:06:00Z,44397.559344,27300.697752,26367.664568,29598.372896,850822415.69,720446293873.265,24.4468
LINK,chainlink,2024-01-06T11:33:00Z,84590.258328,80897.204598,76738.17943,87413.496763,4019732017.855,675719794860.676,19.7482
SOL,solana,bad-date,86496.107455,88789.248907,85824.82114,90295.152276,4606330777.478,1824325032048.491,-8.5316
DOGE,dogecoin,2024-01-04T21:13:00Z,71286.478307,71212.485925,71022.779948,78276.408409,891426380.721,1169547745125.652,6.5078
LTC,litecoin,2024-01-05T12:31:00Z,86172.615234,78008.57041,78052.975452,86274.731492,3703119220.95,1507102727918.488,0.6754
LINK,chainlink,2024-01-06T14:03:00Z,51210.472775,50241.353241,49970.27229,51411.984467,3057151042.522,1080535982355.431,-5.1613
LINK,chainlink,2024-01-01T14:17:00Z,38444.735782,37546.395406,39109.397827,37491.71095,3286713146.839,757731371153.959,-8.2285
DOGE,dogecoin,2024-01-02T10:00:00Z,82524.471101,75129.895035,73118.237534,83071.153755,4613219091.425,1358606768877.663,-12.2714
ADA,cardano,2024-01-05T22:32:00Z,28776.902631,27076.329885,26669.584001,29184.403242,2660153257.695,1478351579377.069,6.9689
LTC,litecoin,2024-01-04T04:15:00Z,59234.71915,59666.832217,56778.339112,59572.826011,4350248253.227,808629592446.052,22.1723
ADA,cardano,2024-01-03T17:44:00Z,95226.362526,94340.773135,91371.601475,97067.251354,4620968930.63,1668087299162.674,11.0092
XRP,ripple,2024-01-01T20:51:00Z,89219.863324,92187.824198,88445.535792,96014.530781,1134499885.899,-617928.6846384383,23.9828
AAVE,aave,2024-01-07T07:42:00Z,63609.688586,67957.172077,63604.617998,67809.902371,1570686752.654,606723856831.33,-19.6276
ETH,ethereum,2024-01-06T11:30:00Z,14608.353908,14995.967434,13746.299044,14923.058517,3208020886.854,1053738123849.605,-11.5991
LTC,litecoin,2024-01-03T07:54:00Z,48701.353741,48803.149956,48659.704491,50789.836873,4289006911.281,379082200214.173,14.7299
DOT,polkadot,2024-01-02T05:00:00Z,77699.534971,79146.857045,74864.198692,80519.57709,3941191790.138,1231799190222.126,24.0211
AAVE,aave,2024-01-01T11:46:00Z,79749.046512,80964.727733,76638.537549,80041.668132,3534982580.02,115574840774.284,-0.0275
AAVE,aave,2024-01-04T03:46:00Z,85223.418851,89227.367256,82722.011637,93975.605971,1590511866.727,1114688600675.421,-11.3171
BTC,bitcoin,2024-01-04T00:22:00Z,13358.913914,12367.489505,12406.754473,13507.450225,2473570813.837,191197343369.139,19.2773
ETH,ethereum,2024-01-07T03:21:00Z,23834.649462,23806.628631,22459.70752,24737.565515,1002382218.912,366564933141.635,-17.4744
LTC,litecoin,2024-01-05T23:58:00Z,61645.421098,63809.797799,59975.151943,68521.013145,3530663038.696,1712855834169.469,-12.4076
XRP,ripple,2024-01-01T03:44:00Z,50448.364025,49379.640471,47962.904271,52027.478617,789389281.128,712580610982.662,-2.9423
SOL,solana,2024-01-05T01:44:00Z,8110.641259,8608.383207,8095.270792,9038.766187,3841147925.689,246878638444.834,4.6613
DOT,polkadot,2024-01-04T12:17:00Z,26434.776545,26727.076486,24684.111768,28475.272054,2839055488.547,1618875887564.301,-1.5251
AAVE,aave,2024-01-01T22:22:00Z,24991.776506,24634.754868,22958.065701,26307.155161,2464200138.656,1632099411128.384,-6.9565
LINK,chainlink,2024-01-06T23:44:00Z,16621.368081,16456.278674,16479.842257,17644.215728,566564258.424,1379040377486.477,-7.5578
BTC,bitcoin,2024-01-01T15:25:00Z,52168.145072,49713.840602,47829.563965,52345.699755,36013277.74,995824083249.871,7.5923
DOGE,dogecoin,2024-01-05T14:28:00Z,65694.204247,68934.529982,63623.150275,68833.530669,4802767590.208,1291240354104.196,-9.0753
AAVE,aave,2024-01-02T00:20:00Z,82499.0633205,50930.037082,49210.126418,54999.375547,1697050066.19,1578553864666.804,6.0569
SOL,solana,2024-01-07T02:08:00Z,76777.215769,79734.820296,74916.122837,83602.247209,836268368.069,336019634479.984,-22.7958
LTC,litecoin,2024-01-07T17:27:00Z,87711.813631,85647.772908,81310.282127,89161.076243,2076373702.145,1828425354575.59,23.6641
SOL,solana,2024-01-07T10:19:00Z,6322.287302,6462.54013,5835.346929,6490.200924,3778836605.765,1408445350501.09,-18.013
ADA,cardano,2024-01-01T07:19:00Z,90490.788775,97383.066266,88770.272419,97757.330234,1265611407.545,1055751742113.029,-6.8597
XRP,ripple,2024-01-07T09:20:00Z,44147.897204,43947.189378,43287.15431,48168.920238,4151162994.648,1411461161759.122,-0.5953
DOT,polkadot,2024-01-07T03:20:00Z,36476.612337,34761.52456,34182.123035,36556.407523,798267402.807,1772819473924.862,16.5109
BTC,bitcoin,2024-01-03T06:06:00Z,90250.166817,91983.078759,88205.678833,97158.582762,2522005518.41,806035925390.355,-5.7451
SOL,solana,2024-01-07T09:30:00Z,57183.114722,58412.758441,54773.894966,58194.406517,3073659018.993,1201422034513.103,23.5907
ADA,cardano,2024-01-07T14:53:00Z,52661.567572,53678.138384,47986.704531,55334.34198,558837587.873,1563018704107.726,24.96
AAVE,aave,2024-01-02T00:48:00Z,85763.519401,83812.362788,82787.873103,94456.681243,1009723220.181,465214738904.322,-8.642
ADA,cardano,2024-01-02T19:43:00Z,93116.480061,92439.511996,89485.12528,98339.513176,569116727.252,40357687264.475,15.7323
DOGE,dogecoin,2024-01-01T16:52:00Z,20656.868795,20938.903884,20438.144289,21898.488703,-95326.75930619484,514174760739.853,23.5379
ETH,ethereum,2024-01-04T07:19:00Z,77345.750078,78659.378549,74998.874122,80807.081316,3190898747.709,388199686800.149,-1.1955
DOGE,dogecoin,2024-01-01T12:59:00Z,7027.985464,6888.145488,7389.540495,6695.173912,141030933.112,688747976550.555,-24.3445
AAVE,aave,2024-01-03T16:00:00Z,44494.218746,45389.238279,41209.820699,45663.333112,4039646005.598,1831236178896.599,-14.994
SOL,solana,2024-01-06T00:06:00Z,4755.520619,4830.847224,4633.44861,5148.150108,2543880263.818,1865797167971.579,16.1883
LINK,chainlink,2024-01-06T07:20:00Z,90945.393035,94534.534465,89504.609633,95325.957104,4548001078.239,957735417459.641,-19.8604
BTC,bitcoin,2024-01-07T17:56:00Z,62445.109968,63006.536012,57593.751119,64481.469921,1127106069.991,1346882596177.056,3.8758
AAVE,aave,2024-01-07T16:48:00Z,73566.004251,76430.388192,72557.14784,74817.612982,2047481703.676,788476186478.06,-18.9902
SOL,solana,2024-01-07T12:34:00Z,61100.784644,64687.794004,60563.691995,63997.395587,1016731735.361,1448724770168.83,-4.984
DOT,polkadot,2024-01-02T12:32:00Z,73473.942376,68886.898272,66419.362511,75068.292937,44915519.998,1789112202451.183,22.7323
BTC,bitcoin,2024-01-05T21:02:00Z,50969.254341,52526.039923,49913.04046,53338.001795,4763328420.443,1439527782585.732,-21.5344
BTC,bitcoin,2024-01-02T15:41:00Z,31375.992987,30864.318836,28550.823237,31570.996236,1373856206.59,1575292810387.229,-15.3479
LINK,chainlink,2024-01-06T20:35:00Z,57634.288002,56350.459444,53530.1983,57794.079432,1039710896.971,1476309330839.675,-15.8183
SOL,solana,2024-01-01T05:24:00Z,bad-price,64794.204715,61364.693839,67731.149386,2205169646.547,1498231411410.131,5.3562
SOL,solana,2024-01-02T10:23:00Z,20377.859343,18843.424008,18910.316576,20447.321198,4833882135.708,1854179995834.343,0.0113
BTC,bitcoin,2024-01-02T03:42:00Z,5975.794348,6394.639363,5974.641463,6288.870361,725739071.112,1832990371995.169,-19.0558
XRP,ripple,2024-01-04T01:42:00Z,65215.829863,64868.185364,63866.198956,67950.155148,61531297.15,160993032146.699,-16.1408
XRP,ripple,2024-01-04T21:17:00Z,87020.564424,88241.614817,79350.675444,88823.626238,840612091.123,335863333978.151,-3.9967
BTC,bitcoin,2024-01-01T23:27:00Z,108171.64554900001,72848.638756,70257.836009,72114.430366,848279101.357,1747384563904.527,17.9557
